id	species	gene_names	gene_synonyms	description	term_ids	sources
24	ath	At3g63300|FKD1|AT3G63300	AT3G63300|FKD1|FORKED 1|MAA21.9	Abnormal cotyledon vascular patterning. Abnormal cotyledon vascular patterning. No other phenotypes detected.  Cotyledons and leaves have open venation due to lack of distal junctions between secondary, tertiary and quaternary veins. Mutant leaves also show reduced expression of DR5::GUS, an auxin-responsive reporter  gene.	PO:0000035|PATO:0000060|PATO:0000460|GO:0010305|GO:0009734|GO:0010087|GO:0009733|PO:0000037|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009031|PO:0009032|PO:0009046|PO:0009052|PO:0020100|PO:0025022|PO:0020003|PO:0000036|PO:0003011|PO:0008015|PO:0009015|PO:0000293|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007611|PO:0007616	Plant PhenomeNET|TAIR
25	ath	At5g55540|TRN1|AT2G16950|AT5G55540	AT2G16950|TRN1|ATTRN1|transportin 1|F12A24.13|F12A24_13|AtTRN1|AT5G55540|LOP1|TORNADO 1|LOPPED 1|MTE17.26|MTE17_26	Abnormal division of lateral root cap. Abnormal positioning of lateral root cap. Abnormal division and positioning of lateral root cap.  Pleiotropic developmental phenotypes including delayed leaf initiation, serrated and asymmetric leaves, growth retardation and reduced fertility. dwarfed plant with twisted organs. altered lateral root cap identity and incorrect root epidermal patterning. defective lamina symmetry, lateral growth and venation patterning. imbalance between cell proliferation and cell differentiation and altered auxin distribution in the leaf. . Primary roots of mutant plants were shorter than in the wild type, hairy and twisted along longitudinal axis. Organ twisting was noticeable in leaf and stem too, but not in cotyledons and hypocotyl. Inflorescence was twisted too, containing twisted and abnormally shaped flowers with reduced fertility. Initial divisions in the epidermal/lateral root cap initial are defective in mutant roots. Furthermore, lateral root cap cells develop in the epidermal position in trn1 roots. Apical dominance severely reduced. Severely dwarfed, with twisted and malformed organs, and sterile. However, cotyledon shape and symmetry were unchanged. The leaf lamina area was slightly, but significantly, reduced in mutatnt plants. The length of the first and second leaves was slightly reduced too. The leaf venation network had a severely reduced complexity: incomplete loops, no tertiary or quaternary veins, and vascular islands. Rosette leaf size and shape were severely affected. Mutant leaves had a rumpled surface with asymmetric laminas because of non-developed blade parts. Similar to other trn1 mutants. Severely dwarfed, with twisted and malformed organs, sterile. No obvious phenotype different from those of trn1-2 or trn2-4 was observed in double mutant.	GO:0051301|PO:0020131|PATO:0001236|PATO:0000460|PATO:0000140|GO:0051170|GO:0005737|GO:0008565|GO:0005829|GO:0005634|GO:0009933|GO:0009965|GO:0009956|GO:0010540|GO:0010305|GO:0009926|GO:0009825|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000005|PO:0000017|PO:0005645|PO:0020138|PO:0020148|PO:0000084|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0007131|PO:0001016|PO:0001017	Plant PhenomeNET|TAIR
26	ath	At3g49250|DMS3|AT3G49250	AT3G49250|DMS3|IDN1|DEFECTIVE IN MERISTEM SILENCING 3|INVOLVED IN DE NOVO 1|F2K15.110	Abnormal DNA methylation.  No visible phenotype. WT morphological phenotype. Decreased DNA methylation of target genes. All pollen grains of heterozygote plant are viable. Mutation does not affect male gametophyte viability. embryo lethal.	GO:0006306|PATO:0001236|PATO:0000460|GO:0031047|PO:0000013|PO:0000037|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0025022|PO:0000025|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007098|PO:0007103|PO:0007115|PO:0007611|PO:0007616	Plant PhenomeNET|TAIR
27	osa	Os07g0164000|WAF1		abnormal embryo development. incomplete penetrance of seedling lethality. abnormal leaf morphology. short roots. few lateral roots. short panicle. elongated bracts. abnormal spikelet morphology. reduced floral organ number. sterile. Abnormal embryo development. Incomplete penetrance of seedling lethality. Abnormal leaf morphology. Short roots. Few lateral roots. Short panicle. Elongated bracts. Abnormal spikelet morphology. Reduced floral organ number. Sterile.	GO:0009790|PATO:0001236|PATO:0000460|PO:0007631|PO:0000003|PATO:0001768|PO:0007112|PO:0009025|PATO:0000051|PO:0028002|PO:0025025|PATO:0000574|PATO:0002001|PO:0020121|PO:0009049|PO:0009055|PATO:0001154|PO:0009051|PO:0025395|PATO:0000956	Plant PhenomeNET
28	ath	At2g29980|FAD3|AT2G29980	AT2G29980|FAD3|AtFAD3|fatty acid desaturase 3|F23F1.10|F23F1_10|OMEGA-3 FATTY ACID DESATURASE|ENDOPLASMIC RETICULUM 18:2 DESATURASE	Abnormal fatty acid composition.  reduction in desaturation of storage and membrane lipids. deficient in lineolate desaturase, 18:2. deficient in endoplasmic reticulum lipids. no visible phenotypic effects.	PO:0000003|PATO:0000025|PATO:0000460|CHEBI:35366|GO:0080167|GO:0005783|GO:0042389|GO:0006636|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000084|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016|PO:0001017	Plant PhenomeNET|TAIR
29	ath	At5g23190|CYP86B1|AT5G23190	"AT5G23190|CYP86B1|""cytochrome P450, family 86, subfamily B, polypeptide 1""|MKD15.5|MKD15_5"	Abnormal fatty acid composition.	PO:0000003|PATO:0000025|PATO:0000460|CHEBI:35366|GO:0042761|GO:0010345|GO:0005783|PO:0009005|PO:0009046|PO:0020100|PO:0007611	Plant PhenomeNET|TAIR
30	ath	At4g27030|FAD4|AT4G27030|FADA	AT4G27030|FAD4|FADA|FATTY ACID DESATURASE 4|fatty acid desaturase A|F10M23.370|F10M23_370	Abnormal fatty acid composition. Elevated palmitic acid levels. Abnormal fatty acid composition. Elevated palmitic acid levels.  altered leaf fatty acid composition, no other phenotypic effect. Leaves have low 16:1delta3trans fatty acids in phosphotidylglycerol.	PO:0000003|PATO:0000025|PATO:0000460|CHEBI:35366|PATO:0001162|CHEBI:15756|GO:0006636|GO:0009507|GO:0046471|GO:0052637|GO:0080167|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616	Plant PhenomeNET|TAIR
31	ath	At1g10310|AT1G10310|AT1G10310.1	AT1G10310|F14N23.19|F14N23_19	Abnormal fatty acid levels.  Mutants have reduced seed 18:1 delta nine fatty acids. An analogous change in  fatty acids is seen in the leaf, but it is more subtle than in seed. .	PO:0000003|PATO:0000033|PATO:0000460|CHEBI:35366|GO:0006760|GO:0005829|GO:0016616|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009029|PO:0009030|PO:0009031|PO:0009032|PO:0009046|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0025281|PO:0025195|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007064|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0001016	Plant PhenomeNET|TAIR
32	ath	At4g37750|ANT|AT4G37750	AT4G37750|ANT|DRG|CKC|CKC1|AtANT|AINTEGUMENTA|DRAGON|COMPLEMENTING A PROTEIN KINASE C MUTANT 1|T28I19.30|T28I19_30	Abnormal flower development. Abnormal ovule development. Abnormal flower and ovule development.  Strong allele. ovules lack integuments, embryo sac does not develop. ovule primordia form and develop normally through very early stages, but in later stages in place of the two integument primordia, only a slightly elevated ridge of cells (integumentary ridge) forms at the chalaza of the ovules  and demarcates the nucellus and the funiculus but undergoes no further expansion, development of other parts of the ovule does not immediately arrest, minimal chalazal bend. altered flower development: narrow petals with somewhat irregular margins, reduced stamen number. complete female sterility. expressed  specifically in the chalaza and in floral organ  primordia. Slightly weak allele. ovules lack integuments, embryo sac  does not develop. ovule primordia form and develop normally through early stages, but in later stages in place of the two integument primordia, an integumentary ridge of cells undergoes limited asymmetrical expansion  at the chalaza and the ovules take on more of the characteristic S shape of wt ovules, intermediate chalazal bend. altered flower development: narrow petals with somewhat irregular margins, reduced stamen number. complete female sterility. Weak allele. ovules lack integuments, embryo sac does not develop. ovule primordia form and develop normally through early stages, but in later stages, in place of the two integument primordia, an integumentary ridge of cells  expands further at the chalaza and, in some cases, partially surrounds the nucellus and superficially resembles an outer integument, normal chalazal bend. altered flower development: narrow petals with somewhat irregular margins, reduced stamen number. complete female sterility. expressed  specifically in the chalaza and in floral organ primordia. Ovules defective without integuments (female sterile). floral organs narrow and reduced in number. vegetative growth less vigorous. Also segregating for the spt-2 allele: gynoecium flattened medially at apex, sometimes unfused at apex, silique shorter, flattened laterally at apex, style and stigma reduced, transmitting tract absent, reduced seed set, stronger allele. Double mutants had an increased number of sepals compared with either single mutant. In early arising flowers as many as eight sepals were present. In addition, fusion between sepals was observed in ant-4 rbe-3 mutants. Sepals in the double mutant were often fused along their entire length rather than just at their base as usually seen in rbe-3. . Mutant flowers also show a reduction in the overall number of second-whorl organs. In addition, fewer filaments and staminoid organs were present in the double mutant compared with rbe-3 single mutants. Reduced stamen number in the third whorl of ant-4 mutants was partially rescued by rbe-3.	GO:0009908|PATO:0001236|PATO:0000460|GO:0048481|GO:0042127|GO:0003677|GO:0006355|GO:0009887|GO:0003700|GO:0010492|GO:0005634|GO:0007276|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009031|PO:0009032|PO:0009046|PO:0009052|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0000293|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007098|PO:0007115|PO:0007611|PO:0007616	Plant PhenomeNET|TAIR
33	ath	At2g28610|PRS|AT2G28610	AT2G28610|PRS|WOX3|PRS1|PRESSED FLOWER|WUSCHEL RELATED HOMEOBOX 3|PRESSED FLOWER 1|T8O18.10|T8O18_10	Abnormal flower morphology.  Altered floral development.	PO:0009046|PATO:0000051|PATO:0000460|GO:0048513|GO:0010865|GO:0008283|GO:0009943|GO:0009947|GO:0005634|GO:0003700|GO:0009908|PO:0000017|PO:0000021|PO:0000229|PO:0004704|PO:0004705|PO:0000015|PO:0000037|PO:0009009|PO:0009010|PO:0009030|PO:0025022|PO:0000054|PO:0005021|PO:0006504|PO:0009031|PO:0009032|PO:0020128|PO:0004507|PO:0001078|PO:0001081|PO:0007611|PO:0007616	Plant PhenomeNET|TAIR
34	ath	At2g33860|ETT|AT2G33860	AT2G33860|ETT|ARF3|ETTIN|AUXIN RESPONSE TRANSCRIPTION FACTOR 3|T1B8.30|T1B8_30	Abnormal flower morphology.  Unusual gynoecium and floral patterning defects,  including an increased number of sepals and carpels. very strong allele.homozygotes have flowers with 1-2 extra sepals and petals, 1 less medial stamen and a gynoecium with altered shape and anatomy. locule number on medial stamen is often reduced. gynoecium has a reduced ovary which is covered abaxially by style transmitting tract apically, and style epidermal tissue basally. it appears as if the top of the gynoecium has been pulled down over the surface of the ovary, and the bottom of the gynoecium has been pulled up, creating an elongated internode-like basal stalk. ovule density is not affected but placentae are shortened. ovules appear sterile due to failure of integument growth around egg sac which protrudes out of the ovule tip and appears to lack the full compliment of 8 nuclei. pollen is fertile. weak allele. homozygotes have flowers with 1-2 extra sepals and petals, 1 less medial stamen and a gynoecium with altered shape and anatomy. locule number on medial stamen is often reduced. gynoecium has a slightly reduced ovary, with a small basal internode, and the basalization of the adaxial style tissue only on the medial sides of the gynoecium. almost fully female fertile. intermediate allele. homozygote has flowers with 1-2 extra sepals and petals, 1 less medial stamen and a gynoecium with altered shape and anatomy. locule number on medial stamen is often reduced. gynoecium has a reduced ovary which is covered abaxially by style transmitting tract apically, and style epidermal tissue basally. it appears as if the top of the gynoecium has been pulled down over the surface of the ovary, and the bottom of the gynoecium has been pulled up, creating an elongated internode-like basal stalk. ovule density is not affected but placentae are shortened. ovules appear sterile due to failure of integument growth around egg sac which protrudes out of the ovule tip and appears to lack the full compliment of 8 nuclei. pollen is fertile. Short internodes, abnormal phyllotaxy, misshapen floral organs, variable floral organ numbers, gynoecium lacks valve tissue, , abnormally positioned ovules. Resembles kanadi homozygous mutants. The gynoecia of double mutants showed severe reduction of the ovary and morphological abnormalities in the apical region that were similar  to ett strong allele mutant phenotypes. Occasionally, inflorescences of the double mutant failed to produce any normal flower buds, resulting in pin-like structures that were not found in either stv1 or ett single mutants. Pin-like inflorescences are formed in mp, pid, and pin1 mutants and in wild-type plants treated with polar auxin transport inhibitors. The gynoecial defects of ett-1 mutants, such as reduction in ovary size and increased gynophore elongation, were enhanced by the sty1-1 mutation. A number of double mutant gynoecia were nearly completely valveless, and in those, ovules grew on top of a placental surface. In addition, the apical ends of sty1-1 ett-1 gynoecia were less fused than those of ett-1 and sty1-1, and ovules frequently protruded at the apex. The amount of stylar and stigmatic tissues was reduced compared with ett-1, and the double mutant was sterile. As in ett-1 gynoecia, ectopic tissue of transmitting tract identity was generally present.	PO:0009046|PATO:0000051|PATO:0000460|GO:0006355|GO:0003700|GO:0009850|GO:0010050|GO:0010158|PO:0000013|PO:0000037|PO:0000230|PO:0008019|PO:0009005|PO:0009006|PO:0009009|PO:0009010|PO:0009025|PO:0009030|PO:0009031|PO:0009032|PO:0009047|PO:0009052|PO:0020030|PO:0020038|PO:0020100|PO:0020137|PO:0025022|PO:0000017|PO:0000229|PO:0020144|PO:0020003|PO:0000293|PO:0020148|PO:0001054|PO:0001078|PO:0001081|PO:0001185|PO:0004507|PO:0007095|PO:0007098|PO:0007103|PO:0007115|PO:0007123|PO:0007611|PO:0007616|PO:0007130	Plant PhenomeNET|TAIR
